,increase_5%,increase_2%
4980,1.139536188566126e-08,2.8717500652419404e-08
4981,9.426545830137911e-11,2.380912692387938e-10
4982,9.557936096098275e-08,2.419925695285201e-07
4983,4.668729947297834e-09,1.2935267768625636e-08
4984,6.099354301113635e-08,1.5525115781929344e-07
4985,1.974089289433323e-09,4.999917953682598e-09
4986,1.8061254813801496e-08,4.575047694379464e-08
4987,1.2350341276032851e-09,3.1310848426073787e-09
4988,-4.901163000613451e-07,-1.2355376977939159e-06
4989,2.684826563381648e-11,6.790261431888212e-11
4990,1.1113062410149723e-06,2.79854686697945e-06
4991,3.5627373144961895e-08,9.313417889643461e-08
4992,2.8642839286476375e-08,7.287637487752364e-08
4993,-8.462417827104218e-11,5.05659310874762e-10
4994,0.0,0.0
4995,0.0,0.0
4996,1.5124098144951858e-09,3.8360553171514765e-09
4997,9.34884287744353e-11,2.595183286757674e-10
4998,9.365813184558647e-12,2.4941751007645507e-11
4999,1.049991333275102e-10,2.703809821014147e-10
5000,1.0853903086172068e-10,2.825520109581703e-10
5001,1.8639423651620744e-08,4.7805747250095014e-08
5002,4.292804733907474e-14,1.1135797628458733e-13
5003,5.102568848087685e-10,1.3444823252939386e-09
5004,1.666006566665601e-09,4.2329062580392936e-09
5005,4.200684270472266e-09,1.0678679769625886e-08
5006,9.201427656080342e-11,2.3663197589485205e-10
5007,8.289545308798552e-09,2.166507110814564e-08
5008,1.2809473482775502e-09,3.3201276455656624e-09
5009,2.6273764597135594e-09,6.756586975825485e-09
5010,-1.7474593914812432e-10,2.5528522382956e-10
5011,7.305898798222188e-10,1.8626083656272385e-09
5012,2.3404561507049945e-09,5.984725372400135e-09
5013,3.463790755631635e-09,8.74896285495197e-09
5014,1.9855270456901054e-09,5.015608312533004e-09
5015,8.481489475816488e-07,2.1467630974948407e-06
5016,2.864570142701268e-07,7.31852401047945e-07
5017,0.0,0.0
5018,1.8588577404443642e-10,4.710939815595339e-10
5019,1.4787493842050026e-10,3.7359201587605637e-10
5020,4.2781702545471485e-07,1.0789734234567731e-06
5021,7.823151230468283e-11,1.9731605539163867e-10
5022,2.0114674041948888e-12,5.07210345190856e-12
5023,0.0,0.0
5024,0.0,0.0
5025,1.285298496611631e-11,3.242361042055108e-11
5026,0.0,0.0
5027,8.769438613853708e-11,2.223837891506264e-10
5028,3.238928011342068e-10,8.218547382057296e-10
5029,0.0,0.0
5030,5.397394818373868e-11,1.366647247778019e-10
5031,-3.6904709436930714e-07,-9.327479547355325e-07
5032,1.94807602383662e-10,4.952642666467e-10
5033,1.1671657441183925e-08,2.9585073934867978e-08
5034,0.0,0.0
5035,7.651491556316615e-09,1.9475822831736877e-08
5036,1.4815009653830202e-09,3.759841465580394e-09
5037,1.0423537401948124e-07,2.6555643777828664e-07
5038,3.3957579795969646e-07,8.529122702893801e-07
5039,3.819895432388876e-08,9.649310346867423e-08
5040,8.616220926342066e-09,2.1937950914434623e-08
5041,1.4457399176899342e-07,3.68427332257852e-07
5042,1.3086257764371111e-08,3.302870822517434e-08
5043,2.5808085408061744e-07,6.585180585971103e-07
5044,5.195449705934152e-08,1.3378771650604902e-07
5045,4.3937820754945276e-07,1.1156704616732894e-06
5046,3.239346505142748e-08,8.226449362700806e-08
5047,2.1294216974638403e-08,5.405629402957857e-08
5048,7.274778035935015e-10,1.8480640210327692e-09
5049,1.2044729010085576e-10,3.061972247451194e-10
5050,6.226970435818657e-11,1.5854094226597227e-10
5051,1.0624199057929217e-09,2.685591724002734e-09
5052,6.0823983949376264e-09,1.5483219744055533e-08
5053,1.0858641235245158e-09,2.7623005771602037e-09
5054,1.207489281114249e-10,3.082348862335493e-10
5055,2.5970839429646732e-08,6.606162199750543e-08
5056,3.798616526182741e-10,9.609629050828516e-10
5057,8.629506919533014e-11,2.1922061569057405e-10
5058,2.7532631065696475e-10,6.998059980105609e-10
5059,4.25102842564229e-09,1.0740996280219406e-08
5060,8.509958643116988e-10,2.1645342712872663e-09
5061,3.12857866520062e-08,7.961180072743445e-08
5062,3.99796705096378e-10,1.0106285371875857e-09
5063,4.270121189620113e-11,1.196206203530892e-10
5064,1.4156540519252302e-09,3.56743366955925e-09
5065,2.738457194063812e-07,6.931562625104562e-07
5066,2.9293891617987455e-15,7.401583124178046e-15
5067,2.780432082488682e-15,7.006649996310621e-15
5068,0.0,0.0
5069,1.4633614334180755e-14,3.6966655778125634e-14
5070,1.5097044395867564e-15,3.807135108904736e-15
5071,5.192880820459322e-12,1.3120665471433313e-11
5072,8.08617303846404e-10,2.043176555162063e-09
5073,7.019398440277769e-14,1.77361213049565e-13
5074,1.0387868398797906e-14,2.6434330224756052e-14
5075,2.3425138442689785e-10,5.965081309113885e-10
5076,2.527276179898763e-08,6.378017617680597e-08
5077,9.226408292306587e-11,2.5844814445008524e-10
5078,2.4183604807603843e-13,6.094235314169084e-13
5079,1.5696976333856583e-10,3.9827395812608304e-10
5080,9.084501652978361e-11,2.2958611953072251e-10
5081,3.6619814636651424e-11,9.312941983807833e-11
5082,0.0,0.0
5083,0.0,0.0
5084,5.234297532297205e-11,1.3245821719465312e-10
5085,1.9866382004693148e-08,5.0194446695968515e-08
5086,1.4042812050320207e-08,3.5487508750520645e-08
5087,5.611321947071701e-09,1.4189069566782564e-08
5088,5.802390980534256e-08,1.4673342340392992e-07
5089,6.757121518603527e-10,1.7090226128857467e-09
5090,2.8342625796540233e-11,7.267044384207111e-11
5091,7.75322947447421e-10,1.957826090801973e-09
5092,1.0444727486174088e-09,2.6396699395263568e-09
5093,2.46022504143184e-10,6.217556910996791e-10
5094,1.061308876160183e-11,2.680536499610753e-11
5095,2.9761902587779335e-09,7.517546680901433e-09
5096,2.52261735056436e-13,6.375745940090382e-13
5097,4.59330141893588e-10,1.161735024652444e-09
5098,0.0,0.0
5099,1.0721275291871279e-08,2.7086728892754762e-08
5100,0.0,0.0
5101,8.153804778703489e-08,2.0430055155884474e-07
5102,8.585213004153047e-11,2.1719238475270686e-10
5103,2.4276043084682895e-08,6.145567723433487e-08
5104,4.8276551911840214e-08,1.2175553350243718e-07
5105,2.4028407339937983e-07,6.077666336204856e-07
5106,0.0,0.0
5107,1.2118726161469695e-18,3.066163642428954e-18
5108,0.0,0.0
5109,1.6651966774361427e-11,4.2504526021502893e-11
5110,0.0,0.0
5111,0.0,0.0
